26854 root      20   0  985304 118364   8912 S  18,8  0,7   0:00.12 ovs-vswitc+
26783 root      20   0  985300 118368   8912 S  12,5  0,7   0:00.14 ovs-vswitc+
26678 root      10 -10   20924   4992   4244 S   0,0  0,0   0:00.00 ovsdb-serv+
26717 root      10 -10   26456   9856   8912 S   0,0  0,1   0:00.00 ovs-vswitc+
26779 root      20   0   20912   4908   4128 S   0,0  0,0   0:00.00 ovsdb-serv+
26850 root      20   0   20912   4900   4116 S   0,0  0,0   0:00.00 ovsdb-serv+
26929 root      20   0   22564   6060   5308 S   0,0  0,0   0:00.00 tcpdump
26930 root      20   0   22564   5948   5200 S   0,0  0,0   0:00.00 tcpdump
26931 root      20   0   22564   6084   5336 S   0,0  0,0   0:00.00 tcpdump
26932 root      20   0   22564   5932   5184 S   0,0  0,0   0:00.00 tcpdump
26933 root      20   0   22564   6000   5252 S   0,0  0,0   0:00.00 tcpdump
26934 root      20   0   22564   6168   5284 S   0,0  0,0   0:00.00 tcpdump
26935 root      20   0   22564   6252   5372 S   0,0  0,0   0:00.00 tcpdump
26783 root      20   0  985300 118368   8912 S   1,0  0,7   0:00.15 ovs-vswitc+
26854 root      20   0  985304 118364   8912 S   1,0  0,7   0:00.13 ovs-vswitc+
26678 root      10 -10   20924   4992   4244 S   0,0  0,0   0:00.00 ovsdb-serv+
26717 root      10 -10   26456   9856   8912 S   0,0  0,1   0:00.00 ovs-vswitc+
26779 root      20   0   20912   4908   4128 S   0,0  0,0   0:00.00 ovsdb-serv+
26850 root      20   0   20912   4900   4116 S   0,0  0,0   0:00.00 ovsdb-serv+
26929 root      20   0   22564   6060   5308 S   0,0  0,0   0:00.00 tcpdump
26930 root      20   0   22564   5948   5200 S   0,0  0,0   0:00.00 tcpdump
26931 root      20   0   22564   6084   5336 S   0,0  0,0   0:00.00 tcpdump
26932 root      20   0   22564   5932   5184 S   0,0  0,0   0:00.00 tcpdump
26933 root      20   0   22564   6000   5252 S   0,0  0,0   0:00.00 tcpdump
26934 root      20   0   22564   6168   5284 S   0,0  0,0   0:00.00 tcpdump
26935 root      20   0   22564   6252   5372 S   0,0  0,0   0:00.00 tcpdump
26678 root      10 -10   20924   4992   4244 S   0,0  0,0   0:00.00 ovsdb-serv+
26717 root      10 -10   26456   9856   8912 S   0,0  0,1   0:00.00 ovs-vswitc+
26779 root      20   0   20912   4908   4128 S   0,0  0,0   0:00.00 ovsdb-serv+
26783 root      20   0  985300 118368   8912 S   0,0  0,7   0:00.15 ovs-vswitc+
26850 root      20   0   20912   4900   4116 S   0,0  0,0   0:00.00 ovsdb-serv+
26854 root      20   0  985304 118364   8912 S   0,0  0,7   0:00.13 ovs-vswitc+
26929 root      20   0   22564   6060   5308 S   0,0  0,0   0:00.00 tcpdump
26930 root      20   0   22564   5948   5200 S   0,0  0,0   0:00.00 tcpdump
26931 root      20   0   22564   6084   5336 S   0,0  0,0   0:00.00 tcpdump
26932 root      20   0   22564   5932   5184 S   0,0  0,0   0:00.00 tcpdump
26933 root      20   0   22564   6000   5252 S   0,0  0,0   0:00.00 tcpdump
26934 root      20   0   22564   6168   5284 S   0,0  0,0   0:00.00 tcpdump
