28527 root      20   0  985304 118368   8912 S  31,2  0,7   0:00.17 ovs-vswitc+
28457 root      20   0  985300 118368   8912 S  18,8  0,7   0:00.12 ovs-vswitc+
28351 root      10 -10   20924   4888   4136 S   0,0  0,0   0:00.00 ovsdb-serv+
28390 root      10 -10   26456   9856   8912 S   0,0  0,1   0:00.00 ovs-vswitc+
28453 root      20   0   20912   5096   4316 S   0,0  0,0   0:00.00 ovsdb-serv+
28523 root      20   0   20912   4888   4108 S   0,0  0,0   0:00.01 ovsdb-serv+
28603 root      20   0   22564   5996   5248 S   0,0  0,0   0:00.00 tcpdump
28604 root      20   0   22564   5992   5240 S   0,0  0,0   0:00.00 tcpdump
28605 root      20   0   22564   6160   5408 S   0,0  0,0   0:00.00 tcpdump
28606 root      20   0   22564   6064   5316 S   0,0  0,0   0:00.00 tcpdump
28607 root      20   0   22564   6120   5372 S   0,0  0,0   0:00.00 tcpdump
28608 root      20   0   22564   6276   5388 S   0,0  0,0   0:00.00 tcpdump
28609 root      20   0   22564   6188   5304 S   0,0  0,0   0:00.00 tcpdump
28527 root      20   0  985304 118368   8912 S   1,0  0,7   0:00.18 ovs-vswitc+
28351 root      10 -10   20924   4888   4136 S   0,0  0,0   0:00.00 ovsdb-serv+
28390 root      10 -10   26456   9856   8912 S   0,0  0,1   0:00.00 ovs-vswitc+
28453 root      20   0   20912   5096   4316 S   0,0  0,0   0:00.00 ovsdb-serv+
28457 root      20   0  985300 118368   8912 S   0,0  0,7   0:00.12 ovs-vswitc+
28523 root      20   0   20912   4888   4108 S   0,0  0,0   0:00.01 ovsdb-serv+
28603 root      20   0   22564   5996   5248 S   0,0  0,0   0:00.00 tcpdump
28604 root      20   0   22564   5992   5240 S   0,0  0,0   0:00.00 tcpdump
28605 root      20   0   22564   6160   5408 S   0,0  0,0   0:00.00 tcpdump
28606 root      20   0   22564   6064   5316 S   0,0  0,0   0:00.00 tcpdump
28607 root      20   0   22564   6120   5372 S   0,0  0,0   0:00.00 tcpdump
28608 root      20   0   22564   6276   5388 S   0,0  0,0   0:00.00 tcpdump
28609 root      20   0   22564   6188   5304 S   0,0  0,0   0:00.00 tcpdump
28453 root      20   0   20912   5096   4316 S   1,0  0,0   0:00.01 ovsdb-serv+
28457 root      20   0  985300 118368   8912 S   1,0  0,7   0:00.13 ovs-vswitc+
28351 root      10 -10   20924   4888   4136 S   0,0  0,0   0:00.00 ovsdb-serv+
28390 root      10 -10   26456   9856   8912 S   0,0  0,1   0:00.00 ovs-vswitc+
28523 root      20   0   20912   4888   4108 S   0,0  0,0   0:00.01 ovsdb-serv+
28527 root      20   0  985304 118368   8912 S   0,0  0,7   0:00.18 ovs-vswitc+
28603 root      20   0   22564   5996   5248 S   0,0  0,0   0:00.00 tcpdump
28604 root      20   0   22564   5992   5240 S   0,0  0,0   0:00.00 tcpdump
28605 root      20   0   22564   6160   5408 S   0,0  0,0   0:00.00 tcpdump
28606 root      20   0   22564   6064   5316 S   0,0  0,0   0:00.00 tcpdump
28607 root      20   0   22564   6120   5372 S   0,0  0,0   0:00.00 tcpdump
28608 root      20   0   22564   6276   5388 S   0,0  0,0   0:00.00 tcpdump
28609 root      20   0   22564   6188   5304 S   0,0  0,0   0:00.00 tcpdump
28527 root      20   0  985304 118368   8912 S   3,0  0,7   0:00.21 ovs-vswitc+
28351 root      10 -10   20924   4888   4136 S   0,0  0,0   0:00.00 ovsdb-serv+
28390 root      10 -10   26456   9856   8912 S   0,0  0,1   0:00.00 ovs-vswitc+
28453 root      20   0   20912   5096   4316 S   0,0  0,0   0:00.01 ovsdb-serv+
28457 root      20   0  985300 118368   8912 S   0,0  0,7   0:00.13 ovs-vswitc+
28523 root      20   0   20912   4888   4108 S   0,0  0,0   0:00.01 ovsdb-serv+
28603 root      20   0   22564   5996   5248 S   0,0  0,0   0:00.00 tcpdump
28604 root      20   0   22564   5992   5240 S   0,0  0,0   0:00.00 tcpdump
28605 root      20   0   22564   6160   5408 S   0,0  0,0   0:00.00 tcpdump
28606 root      20   0   22564   6064   5316 S   0,0  0,0   0:00.00 tcpdump
28607 root      20   0   22564   6120   5372 S   0,0  0,0   0:00.00 tcpdump
28608 root      20   0   22564   6276   5388 S   0,0  0,0   0:00.00 tcpdump
28609 root      20   0   22564   6188   5304 S   0,0  0,0   0:00.00 tcpdump
28527 root      20   0  985304 118368   8912 S   1,0  0,7   0:00.22 ovs-vswitc+
28351 root      10 -10   20924   4888   4136 S   0,0  0,0   0:00.00 ovsdb-serv+
28390 root      10 -10   26456   9856   8912 S   0,0  0,1   0:00.00 ovs-vswitc+
28453 root      20   0   20912   5096   4316 S   0,0  0,0   0:00.01 ovsdb-serv+
28457 root      20   0  985300 118368   8912 S   0,0  0,7   0:00.13 ovs-vswitc+
28523 root      20   0   20912   4888   4108 S   0,0  0,0   0:00.01 ovsdb-serv+
28603 root      20   0   22564   5996   5248 S   0,0  0,0   0:00.00 tcpdump
28604 root      20   0   22564   5992   5240 S   0,0  0,0   0:00.00 tcpdump
28605 root      20   0   22564   6160   5408 S   0,0  0,0   0:00.00 tcpdump
28606 root      20   0   22564   6064   5316 S   0,0  0,0   0:00.00 tcpdump
28607 root      20   0   22564   6120   5372 S   0,0  0,0   0:00.00 tcpdump
28608 root      20   0   22564   6276   5388 S   0,0  0,0   0:00.00 tcpdump
28609 root      20   0   22564   6188   5304 S   0,0  0,0   0:00.00 tcpdump
28457 root      20   0  985300 118368   8912 S   1,0  0,7   0:00.14 ovs-vswitc+
28527 root      20   0  985304 118368   8912 S   1,0  0,7   0:00.23 ovs-vswitc+
